anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
6300,"Sales Support Workers, nfd","Sales Support Workers, nfd",Sales Support Workers nfd,4,1
6311,Checkout Operators and Office Cashiers,Checkout Operators and Office Cashiers,Checkout Operators and Office Cashiers,4,0
6390,"Miscellaneous Sales Support Workers, nfd","Miscellaneous Sales Support Workers, nfd",Miscellaneous Sales Support Workers nfd,4,1
6391,Models and Sales Demonstrators,Models and Sales Demonstrators,Models and Sales Demonstrators,4,0
6392,Retail and Wool Buyers,Retail and Wool Buyers,Retail and Wool Buyers,4,0
6393,Telemarketers,Telemarketers,Telemarketers,4,0
6394,Ticket Salespersons,Ticket Salespersons,Ticket Salespersons,4,0
6395,Visual Merchandisers,Visual Merchandisers,Visual Merchandisers,4,0
6399,Other Sales Support Workers,Other Sales Support Workers,Other Sales Support Workers,4,0
7000,"Machinery Operators and Drivers, nfd","Machinery Operators and Drivers, nfd",Machinery Operators and Drivers nfd,4,1
7100,"Machine and Stationary Plant Operators, nfd","Machine and Stationary Plant Operators, nfd",Machine and Stationary Plant Operators nfd,4,1
7110,"Machine Operators, nfd","Machine Operators, nfd",Machine Operators nfd,4,1
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators","Clay, Concrete, Glass and Stone Processing Machine Operators","Clay, Concrete, Glass and Stone Processing Machine Operators",4,0
7112,Industrial Spraypainters,Industrial Spraypainters,Industrial Spraypainters,4,0
7113,Paper and Wood Processing Machine Operators,Paper and Wood Processing Machine Operators,Paper and Wood Processing Machine Operators,4,0
7114,Photographic Developers and Printers,Photographic Developers and Printers,Photographic Developers and Printers,4,0
7115,Plastics and Rubber Production Machine Operators,Plastics and Rubber Production Machine Operators,Plastics and Rubber Production Machine Operators,4,0
7116,Sewing Machinists,Sewing Machinists,Sewing Machinists,4,0
7117,Textile and Footwear Production Machine Operators,Textile and Footwear Production Machine Operators,Textile and Footwear Production Machine Operators,4,0
7119,Other Machine Operators,Other Machine Operators,Other Machine Operators,4,0
7120,"Stationary Plant Operators, nfd","Stationary Plant Operators, nfd",Stationary Plant Operators nfd,4,1
7121,"Crane, Hoist and Lift Operators","Crane, Hoist and Lift Operators","Crane, Hoist and Lift Operators",4,0
7122,"Drillers, Miners and Shot Firers","Drillers, Miners and Shot Firers","Drillers, Miners and Shot Firers",4,0
7123,Engineering Production Workers,Engineering Production Workers,Engineering Production Workers,4,0
7129,Other Stationary Plant Operators,Other Stationary Plant Operators,Other Stationary Plant Operators,4,0
7210,"Mobile Plant Operators, nfd","Mobile Plant Operators, nfd",Mobile Plant Operators nfd,4,1
7211,"Agricultural, Forestry and Horticultural Plant Operators","Agricultural, Forestry and Horticultural Plant Operators","Agricultural, Forestry and Horticultural Plant Operators",4,0
7212,Earthmoving Plant Operators,Earthmoving Plant Operators,Earthmoving Plant Operators,4,0
7213,Forklift Drivers,Forklift Drivers,Forklift Drivers,4,0
7219,Other Mobile Plant Operators,Other Mobile Plant Operators,Other Mobile Plant Operators,4,0
7300,"Road and Rail Drivers, nfd","Road and Rail Drivers, nfd",Road and Rail Drivers nfd,4,1
7310,"Automobile, Bus and Rail Drivers, nfd","Automobile, Bus and Rail Drivers, nfd","Automobile, Bus and Rail Drivers nfd",4,1
7311,Automobile Drivers,Automobile Drivers,Automobile Drivers,4,0
7312,Bus and Coach Drivers,Bus and Coach Drivers,Bus and Coach Drivers,4,0
7313,Train and Tram Drivers,Train and Tram Drivers,Train and Tram Drivers,4,0
7321,Delivery Drivers,Delivery Drivers,Delivery Drivers,4,0
7331,Truck Drivers,Truck Drivers,Truck Drivers,4,0
7411,Storepersons,Storepersons,Storepersons,4,0
8000,"Labourers, nfd","Labourers, nfd",Labourers nfd,4,1
8110,"Cleaners and Laundry Workers, nfd","Cleaners and Laundry Workers, nfd",Cleaners and Laundry Workers nfd,4,1
8111,Car Detailers,Car Detailers,Car Detailers,4,0
8112,Commercial Cleaners,Commercial Cleaners,Commercial Cleaners,4,0
8113,Domestic Cleaners,Domestic Cleaners,Domestic Cleaners,4,0
8114,Housekeepers,Housekeepers,Housekeepers,4,0
8115,Laundry Workers,Laundry Workers,Laundry Workers,4,0
8116,Other Cleaners,Other Cleaners,Other Cleaners,4,0
8210,"Construction and Mining Labourers, nfd","Construction and Mining Labourers, nfd",Construction and Mining Labourers nfd,4,1
8211,Building and Plumbing Labourers,Building and Plumbing Labourers,Building and Plumbing Labourers,4,0
